timestamp,dpid,table_id,in_port,eth_src,eth_dst,ip_src,ip_dst,eth_type,ip_proto,src_port,dst_port,n_packets,n_bytes,duration_sec,entry_type,throughput_bps,priority_label
2025-11-24 16:39:24,1,0,N/A,2a:aa:63:b4:94:80,33:33:00:00:00:02,10.0.0.3,N/A,,N/A,N/A,N/A,2,140,15,flow_stats,111.97,0
2025-11-24 16:39:24,1,0,N/A,76:3f:d5:11:60:0d,33:33:00:00:00:02,10.0.0.1,N/A,,N/A,N/A,N/A,2,140,14,flow_stats,111.97,0
2025-11-24 16:39:24,1,0,N/A,ea:7b:03:a8:27:de,76:3f:d5:11:60:0d,10.0.0.2,10.0.0.1,,N/A,N/A,N/A,634305,41864238,12,flow_stats,24936174.22,1
2025-11-24 16:39:24,1,0,N/A,76:3f:d5:11:60:0d,ea:7b:03:a8:27:de,10.0.0.1,10.0.0.2,,N/A,N/A,N/A,967000,42356168988,12,flow_stats,25518746532.56,1
2025-11-24 16:39:24,1,0,N/A,2a:aa:63:b4:94:80,76:3f:d5:11:60:0d,10.0.0.3,10.0.0.1,,N/A,N/A,N/A,3,238,12,flow_stats,158.67,0
2025-11-24 16:39:24,1,0,N/A,76:3f:d5:11:60:0d,2a:aa:63:b4:94:80,10.0.0.1,10.0.0.3,,N/A,N/A,N/A,2,140,12,flow_stats,93.33,0
2025-11-24 16:39:24,1,0,N/A,2a:aa:63:b4:94:80,ea:7b:03:a8:27:de,10.0.0.3,10.0.0.2,,N/A,N/A,N/A,3,238,12,flow_stats,158.67,0
2025-11-24 16:39:24,1,0,N/A,ea:7b:03:a8:27:de,2a:aa:63:b4:94:80,10.0.0.2,10.0.0.3,,N/A,N/A,N/A,2,140,12,flow_stats,93.33,0
2025-11-24 16:39:29,1,0,N/A,ea:7b:03:a8:27:de,33:33:00:00:00:02,10.0.0.2,N/A,,N/A,N/A,N/A,2,140,20,flow_stats,56.0,0
2025-11-24 16:39:29,1,0,N/A,2a:aa:63:b4:94:80,33:33:00:00:00:02,10.0.0.3,N/A,,N/A,N/A,N/A,2,140,20,flow_stats,56.0,0
2025-11-24 16:39:29,1,0,N/A,76:3f:d5:11:60:0d,33:33:00:00:00:02,10.0.0.1,N/A,,N/A,N/A,N/A,2,140,19,flow_stats,58.95,0
2025-11-24 16:39:29,1,0,N/A,ea:7b:03:a8:27:de,76:3f:d5:11:60:0d,10.0.0.2,10.0.0.1,,N/A,N/A,N/A,634305,41864238,17,flow_stats,19700817.88,1
2025-11-24 16:39:29,1,0,N/A,76:3f:d5:11:60:0d,ea:7b:03:a8:27:de,10.0.0.1,10.0.0.2,,N/A,N/A,N/A,967000,42356168988,17,flow_stats,19932314817.88,1
2025-11-24 16:40:19,1,0,N/A,2a:aa:63:b4:94:80,76:3f:d5:11:60:0d,10.0.0.3,10.0.0.1,,N/A,43230,5001,92331,4043438818,1,flow_stats,587927219.84,1
2025-11-24 16:40:19,1,0,N/A,76:3f:d5:11:60:0d,2a:aa:63:b4:94:80,10.0.0.1,10.0.0.3,,N/A,5001,43230,60812,4013628,1,flow_stats,583572.32,0
2025-11-24 16:40:24,1,0,N/A,2a:aa:63:b4:94:80,76:3f:d5:11:60:0d,10.0.0.3,10.0.0.1,,N/A,43230,5001,961846,42112952344,5,flow_stats,50000000000,1
2025-11-24 16:40:24,1,0,N/A,76:3f:d5:11:60:0d,2a:aa:63:b4:94:80,10.0.0.1,10.0.0.3,,N/A,5001,43230,633967,41841834,5,flow_stats,60510696.95,1
2025-11-24 16:40:29,1,0,N/A,2a:aa:63:b4:94:80,76:3f:d5:11:60:0d,10.0.0.3,10.0.0.1,,N/A,43230,5001,961846,42112952344,10,flow_stats,33690361875.2,1
2025-11-24 16:40:29,1,0,N/A,76:3f:d5:11:60:0d,2a:aa:63:b4:94:80,10.0.0.1,10.0.0.3,,N/A,5001,43230,633967,41841834,10,flow_stats,33473467.2,1
2025-11-25 16:29:07,1,0,N/A,b6:91:37:94:bf:75,33:33:00:00:00:16,10.0.0.1,N/A,,N/A,N/A,N/A,2,180,3,flow_stats,480.0,0
2025-11-25 16:29:07,1,0,N/A,aa:15:ca:fc:b7:dd,33:33:00:00:00:16,10.0.0.2,N/A,,N/A,N/A,N/A,2,180,3,flow_stats,480.0,0
2025-11-25 16:29:07,1,0,N/A,0e:8a:2f:9b:32:43,33:33:00:00:00:16,N/A,N/A,,N/A,N/A,N/A,2,180,3,flow_stats,480.0,0
2025-11-25 16:29:12,1,0,N/A,b6:91:37:94:bf:75,33:33:00:00:00:16,10.0.0.1,N/A,,N/A,N/A,N/A,2,180,8,flow_stats,180.0,0
2025-11-25 16:29:12,1,0,N/A,aa:15:ca:fc:b7:dd,33:33:00:00:00:16,10.0.0.2,N/A,,N/A,N/A,N/A,2,180,8,flow_stats,180.0,0
2025-11-25 16:29:12,1,0,N/A,0e:8a:2f:9b:32:43,33:33:00:00:00:16,10.0.0.3,N/A,,N/A,N/A,N/A,2,180,8,flow_stats,180.0,0
